Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
shooting,The action or practice of shooting,atış,She went to the shooting range.,"noun, verb",shootings,"firing, gunfire",none,"shooting range, mass shooting",luyện trí não,en
shop,A building or part of a building where goods or services are sold; a store,dükkan,They opened a new shop in town.,"noun, verb","shops, shopping, shopped","store, market",none,"go to the shop, open a shop",nghề nghiệp,en
shopping,The action or activity of purchasing goods from stores,alışveriş,She enjoys shopping on weekends.,"noun, verb","shops, shopping, shopped","purchasing, buying",selling,"go shopping, online shopping",khác,en
short,Measuring a small distance from end to end,kısa,He wore a short jacket.,"adjective, noun","shorter, shortest","brief, small","long, tall","short time, short distance",khác,en
shortly,In a short time; soon,kısa bir süre sonra,She will arrive shortly.,adverb,none,"soon, promptly","later, eventually","arrive shortly, leave shortly",khác,en
shot,The act of firing a gun,atış,He took a shot at the target.,"noun, verb",shots,"firing, discharge",none,"take a shot, gun shot",khác,en
should,"Used to indicate obligation, duty, or correctness, typically when criticizing someone's actions",gerek,You should study for the exam.,modal verb,none,"ought to, must",none,"should do, should be",trường học,en
shoulder,The upper joint of each of a person's arms and the part of the body between this and the neck,omuz,He dislocated his shoulder playing football.,"noun, verb",shoulders,"joint, upper arm",none,"shoulder pain, shoulder bag",khác,en
shout,Say something very loudly,bağırmak,He shouted for help.,"verb, noun","shouts, shouting, shouted","yell, scream","whisper, murmur","shout loudly, shout for",khác,en
show,"Display or allow to be perceived (a quality, emotion, or characteristic)",göstermek,She showed her true feelings.,"verb, noun","shows, showing, showed","display, exhibit","hide, conceal","show emotion, show a film",nghề nghiệp,en
shower,"A brief and usually light fall of rain, hail, sleet, or snow",duş,We got caught in a shower.,"noun, verb","showers, showering, showered","rainfall, drizzle",drought,"take a shower, shower of rain",khác,en
show off,Display one's abilities or accomplishments in a proud or boastful manner,gösteriş yapmak,He likes to show off his new car.,phrasal verb,none,"boast, brag","hide, understate","show off talent, show off skills",du lịch,en
show up,Arrive or turn up at a place,görünmek,She showed up late to the meeting.,phrasal verb,none,"arrive, appear","miss, avoid","show up on time, show up late",nghề nghiệp,en
shut,Move (something) into position so as to block an opening; close,kapatmak,He shut the door.,"verb, noun","shuts, shutting, shut","close, seal","open, uncover","shut the door, shut the window",khác,en
shut down,Cease operations,kapatmak,They decided to shut down the factory.,phrasal verb,none,"close, cease","start, begin","shut down a computer, shut down operations",nghề nghiệp,en
shut up,Stop talking or making noise,susmak,She told him to shut up.,phrasal verb,none,"silence, quiet","speak, talk","told to shut up, just shut up",khác,en
sick,Affected by physical or mental illness,hasta,She is feeling sick today.,"adjective, noun","sicker, sickest","ill, unwell","healthy, well","feel sick, get sick",nghề nghiệp,en
side,"A position to the left or right of an object, place, or central point",yan,He stood by her side.,"noun, verb",sides,"edge, part","center, middle","side of the road, side effects",văn hóa,en
sight,The faculty or power of seeing,görme,He lost his sight in the accident.,"noun, verb",sights,"vision, view",blindness,"clear sight, line of sight",khác,en
sign,"An object, quality, or event whose presence or occurrence indicates the probable presence or occurrence of something else",işaret,The dark clouds are a sign of rain.,"noun, verb","signs, signing, signed","indication, symbol",obscurity,"warning sign, sign up",khác,en
signal,"A gesture, action, or sound that is used to convey information or instructions",sinyal,She gave him a signal to start.,"noun, verb","signals, signaling, signaled","gesture, cue",none,"give a signal, signal to",khác,en
signature,A person's name written in a distinctive way as a form of identification in authorizing a check or document or concluding a letter,imza,He wrote his signature at the bottom of the page.,"noun, verb",signatures,"autograph, name",none,"write a signature, signature dish",khác,en
significant,Sufficiently great or important to be worthy of attention; noteworthy,önemli,The project made a significant impact.,"adjective, noun",significance,"important, noteworthy","insignificant, trivial","significant change, significant difference",nghề nghiệp,en
significantly,In a sufficiently great or important way as to be worthy of attention,önemli ölçüde,Her health has improved significantly.,adverb,none,"considerably, notably",insignificantly,"increase significantly, significantly better",luyện trí não,en
silence,Complete absence of sound,sessizlik,There was complete silence in the room.,"noun, verb","silences, silencing, silenced","quiet, stillness","noise, sound","complete silence, awkward silence",khác,en
silent,Not making or accompanied by any sound,sessiz,The house was silent at night.,"adjective, noun",silently,"mute, soundless","loud, noisy","silent night, silent film",khác,en
silk,"A fine, strong, soft, lustrous fiber produced by silkworms in making cocoons and collected to make thread and fabric",ipek,She wore a beautiful silk dress.,"noun, adjective",silks,"thread, fabric",none,"pure silk, silk scarf",khác,en
silly,Having or showing a lack of common sense or judgment; absurd and foolish,saçma,He felt silly wearing the clown costume.,"adjective, noun",silliness,"foolish, absurd","wise, sensible","silly mistake, feel silly",nghề nghiệp,en
silver,A shiny gray-white color or precious metal used in jewelry and ornaments,gümüş,She wore a silver necklace.,"noun, adjective",silvers,"metal, gray",gold,"silver coin, silver lining",khác,en
similar,Resembling without being identical,benzer,The two cars are similar in size.,"adjective, noun",similarity,"alike, resembling","different, dissimilar","similar to, look similar",du lịch,en
similarly,In a similar way,benzer şekilde,The twins were dressed similarly.,adverb,none,"likewise, correspondingly","differently, contrarily","similarly dressed, similarly affected",khác,en
simple,Easily understood or done; presenting no difficulty,basit,The instructions were simple to follow.,"adjective, noun","simpler, simplest","easy, straightforward","complex, difficult","simple task, simple solution",khác,en
simply,In a straightforward or plain manner,basitçe,He simply nodded in agreement.,adverb,none,"plainly, merely","complicatedly, elaborately","simply put, simply because",khác,en
since,For the reason that; because,çünkü,"Since it was raining, we stayed indoors.","conjunction, preposition",none,"because, as","until, before","since then, ever since",luyện trí não,en
sincere,Free from pretense or deceit; genuine,samimi,He gave a sincere apology.,"adjective, noun",sincerely,"honest, genuine","insincere, dishonest","sincere apology, sincere effort",khác,en
sincerely,In a sincere or genuine way,samimiyetle,Thank you sincerely for your help.,adverb,none,"genuinely, earnestly",insincerely,"thank you sincerely, sincerely yours",khác,en
sing,"Make musical sounds with the voice, especially words with a set tune",şarkı söylemek,She loves to sing in the shower.,"verb, noun","sings, singing, sang","chant, croon",none,"sing a song, sing loudly",văn hóa,en
singer,"A person who sings, especially professionally",şarkıcı,The singer performed on stage.,"noun, verb",singers,"vocalist, performer",none,"famous singer, lead singer",nghề nghiệp,en
single,Only one; not one of several,tek,He is a single man.,"adjective, noun",singles,"one, sole","married, multiple","single room, single person",khác,en
sink,"Go down below the surface of something, especially of a liquid; become submerged",batmak,The ship sank to the bottom of the ocean.,"verb, noun","sinks, sinking, sank","submerge, descend","rise, float","sink into, sink beneath",du lịch,en
sir,"Used as a polite or respectful way of addressing a man, especially one in a position of authority",bayım,"Excuse me, sir.",noun,none,"gentleman, mister",none,"yes sir, no sir",khác,en
sister,A woman or girl in relation to other daughters and sons of her parents,kız kardeş,Her sister is a doctor.,"noun, verb",sisters,"sibling, relative",brother,"younger sister, older sister",nghề nghiệp,en
sit,Adopt or be in a position in which one's weight is supported by one's buttocks rather than one's feet and one's back is upright,oturmak,Please sit down.,"verb, noun","sits, sitting, sat","perch, seat","stand, rise","sit down, sit up",nghề nghiệp,en
site,"An area of ground on which a town, building, or monument is constructed",alan,The site of the new school has been chosen.,"noun, verb",sites,"location, place",none,"construction site, website",trường học,en
situation,A set of circumstances in which one finds oneself; a state of affairs,durum,The situation is under control.,"noun, adjective",situations,"circumstance, condition",none,"dangerous situation, current situation",khác,en
six,"Equivalent to the product of two and three; one more than five, or four less than ten",altı,There are six apples in the basket.,"noun, adjective",sixth,half a dozen,none,"six years, six times",nghề nghiệp,en
sixteen,"Equivalent to the product of four and four; one more than fifteen, or four more than twelve",on altı,She turned sixteen last month.,"noun, adjective",sixteens,none,none,"sweet sixteen, age sixteen",nghề nghiệp,en
sixth,Constituting number six in a sequence; 6th,altıncı,He finished in sixth place.,"noun, adjective",sixths,none,none,"sixth place, sixth grade",khác,en
sixtieth,Constituting number sixty in a sequence; 60th,altmışıncı,He celebrated his sixtieth birthday.,"adjective, noun",none,none,none,"sixtieth anniversary, sixtieth place",văn hóa,en
sixty,The number equivalent to the product of six and ten; ten more than fifty,altmış,There are sixty seconds in a minute.,"noun, adjective",none,none,none,"sixty minutes, sixty years",nghề nghiệp,en
size,The relative extent of something; a thing's overall dimensions or magnitude; how big something is,boyut,What size is your shirt?,"noun, verb",sizes,"dimension, magnitude",none,"large size, small size",khác,en
skilful,Having or showing skill,becerikli,She is a skilful artist.,"adjective, noun",none,"adept, proficient","unskilled, inept","skilful performance, skilful handling",nghề nghiệp,en
skilfully,In a way that shows skill,ustalıkla,He completed the task skilfully.,adverb,none,"expertly, proficiently","clumsily, poorly","skilfully executed, skilfully done",nghề nghiệp,en
skill,The ability to do something well; expertise,beceri,Her skill in cooking is impressive.,"noun, verb",skills,"expertise, ability","incompetence, ineptitude","develop a skill, learn a skill",luyện trí não,en
skilled,"Having or showing the knowledge, ability, or training to perform a certain activity or task well",becerikli,He is skilled in carpentry.,"adjective, noun",skillfully,"trained, experienced","unskilled, untrained","skilled labor, skilled worker",luyện trí não,en
skin,The thin layer of tissue forming the natural outer covering of the body of a person or animal,cilt,His skin is very sensitive.,"noun, verb",skins,"dermis, epidermis",none,"dry skin, skin care",khác,en
skirt,A woman's outer garment fastened around the waist and hanging down around the legs,etek,She wore a red skirt.,"noun, verb",skirts,none,none,"short skirt, long skirt",khác,en
sky,The region of the atmosphere and outer space seen from the earth,gökyüzü,The sky is clear today.,"noun, verb",skies,"heavens, atmosphere","ground, earth","clear sky, night sky",khác,en
sleep,"A condition of body and mind such as that which typically recurs for several hours every night, in which the nervous system is relatively inactive",uyku,He needs eight hours of sleep.,"noun, verb","sleeps, sleeping, slept","rest, slumber","wakefulness, consciousness","deep sleep, sleep well",luyện trí não,en
sleeve,The part of a garment that wholly or partly covers a person's arm,kol,He rolled up his sleeves.,"noun, verb",sleeves,cuff,none,"long sleeve, short sleeve",khác,en
slice,"A thin, broad piece of food, such as bread, meat, or cake, cut from a larger portion",dilim,She cut a slice of bread.,"noun, verb","slices, slicing, sliced","piece, portion","whole, chunk","slice of pizza, slice of cake",thức ăn,en
slide,Move smoothly along a surface while maintaining continuous contact with it,kaymak,The children like to slide down the hill.,"verb, noun","slides, sliding, slid","glide, slip","stick, adhere","slide down, slide away",khác,en
slight,Small in degree; not considerable,hafif,There was a slight change in the plan.,"adjective, noun",slightly,"small, minor","large, significant","slight difference, slight chance",trường học,en
slightly,To a small degree; not considerably,hafifçe,She was slightly injured in the accident.,adverb,none,"a little, somewhat","considerably, significantly","slightly higher, slightly better",trường học,en
slip,Lose one's footing and slide unintentionally for a short distance,kaymak,He slipped on the wet floor.,"verb, noun","slips, slipping, slipped","fall, stumble","stand, remain","slip and fall, slip away",khác,en
slope,A surface of which one end or side is at a higher level than another; a rising or falling surface,yokuş,They climbed up the slope.,"noun, verb",slopes,"incline, hill","flat, level","steep slope, gentle slope",khác,en
slow,"Moving or operating, or designed to do so, only at a low speed; not quick or fast",yavaş,The car was moving slow.,"adjective, verb","slower, slowest","leisurely, unhurried","fast, quick","slow speed, slow down",du lịch,en
slowly,At a slow speed; not quickly,yavaşça,He walked slowly down the path.,adverb,none,"gradually, bit by bit","quickly, swiftly","walk slowly, move slowly",khác,en
small,Of a size that is less than normal or usual,küçük,She bought a small car.,"adjective, noun","smaller, smallest","little, tiny","large, big","small size, small amount",du lịch,en
smart,Having or showing a quick-witted intelligence,zeki,He is very smart for his age.,"adjective, verb",smartly,"intelligent, clever","dull, foolish","smart move, smart kid",luyện trí não,en
smash,Violently break (something) into pieces,parçalamak,He smashed the glass in anger.,"verb, noun","smashes, smashing, smashed","shatter, break","mend, fix","smash into, smash up",thức ăn,en
smell,The faculty or power of perceiving odors or scents by means of the organs in the nose,koku,I love the smell of fresh bread.,"noun, verb","smells, smelling, smelled","odor, scent",stench,"sweet smell, bad smell",thức ăn,en
smile,"Form one's features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and the front teeth exposed",gülümsemek,She smiled at the joke.,"verb, noun","smiles, smiling, smiled","grin, beam","frown, scowl","big smile, smile at",luyện trí não,en
smoke,"A visible suspension of carbon or other particles in air, typically one emitted from a burning substance",duman,The smoke from the fire was thick.,"noun, verb","smokes, smoking, smoked","fume, vapor",clear air,"cigarette smoke, smoke rises",nghề nghiệp,en
smooth,"Having an even and regular surface or consistency; free from perceptible projections, lumps, or indentations",pürüzsüz,The surface of the table was smooth.,"adjective, noun","smooths, smoothing, smoothed","even, flat","rough, uneven","smooth surface, smooth skin",nghề nghiệp,en
smoothly,In a smooth manner; with an even and regular movement,pürüzsüzce,The car runs smoothly.,adverb,none,"effortlessly, easily","roughly, jerkily","run smoothly, go smoothly",du lịch,en
snake,"A long limbless reptile which has no eyelids, a short tail, and jaws that are capable of considerable extension",yılan,The snake slithered away.,"noun, verb",snakes,"serpent, reptile",none,"venomous snake, big snake",khác,en
snow,Atmospheric water vapor frozen into ice crystals and falling in light white flakes or lying on the ground as a white layer,kar,The snow covered the ground.,"noun, verb","snows, snowing, snowed","flakes, snowfall",rain,"heavy snow, snow falls",thức ăn,en
so,To such a great extent,böylece,She was so tired that she couldn't speak.,"adverb, conjunction",none,"thus, therefore",none,"so much, so far",khác,en
soap,"A substance used with water for washing and cleaning, made of a compound of natural oils or fats with sodium hydroxide or another strong alkali, and typically having perfume and coloring added",sabun,He washed his hands with soap.,"noun, verb",soaps,"detergent, cleanser",none,"bar of soap, liquid soap",thức ăn,en
social,Relating to society or its organization,sosyal,She enjoys social activities.,"adjective, noun",socially,"communal, societal",individual,"social network, social skills",văn hóa,en
socially,In a manner that relates to society or its organization,sosyal olarak,They are socially active.,adverb,none,sociably,none,"socially acceptable, socially active",văn hóa,en
society,The aggregate of people living together in a more or less ordered community,toplum,The society is very diverse.,"noun, verb",societies,"community, civilization","individual, isolation","modern society, diverse society",văn hóa,en
sock,"A garment for the foot and lower part of the leg, typically knitted from wool, cotton, or nylon",çorap,He wore a pair of socks.,"noun, verb",socks,"footwear, stocking",none,"pair of socks, wool socks",khác,en
soft,"Easy to mold, cut, compress, or fold; not hard or firm to the touch",yumuşak,The pillow was soft.,"adjective, noun","softer, softest","pliant, tender","hard, firm","soft touch, soft voice",khác,en
softly,"In a gentle, quiet, or subdued manner",yumuşakça,She spoke softly to the baby.,adverb,none,"gently, quietly","loudly, harshly","speak softly, tread softly",khác,en
soil,"The upper layer of earth in which plants grow, a black or dark brown material typically consisting of a mixture of organic remains, clay, and rock particles",toprak,The soil is rich and fertile.,"noun, verb",soils,"earth, dirt","rock, stone","fertile soil, rich soil",luyện trí não,en
soldier,A person who serves in an army,asker,The soldier stood guard at the gate.,"noun, verb",soldiers,"military personnel, serviceman",civilian,"brave soldier, recruit soldier",nghề nghiệp,en
solution,A means of solving a problem or dealing with a difficult situation,çözüm,They found a solution to the problem.,"noun, verb",solutions,"answer, resolution","problem, issue","find a solution, possible solution",luyện trí não,en
solve,"Find an answer to, explanation for, or means of effectively dealing with (a problem or mystery)",çözmek,She solved the puzzle quickly.,"verb, noun","solves, solving, solved","resolve, figure out","complicate, puzzle","solve a problem, solve a puzzle",luyện trí não,en
some,An unspecified amount or number of,bazı,She needs some help with her homework.,"pronoun, adjective",none,"several, a few",none,"some people, some time",trường học,en
somebody,An unspecified person,birisi,Somebody left their umbrella.,pronoun,none,"anyone, someone",none,"somebody help, somebody else",khác,en
somehow,In some way; by some means,bir şekilde,We'll get there somehow.,adverb,none,"in some way, by any means",none,"somehow manage, somehow get",khác,en
someone,An unknown or unspecified person,biri,Someone is at the door.,pronoun,none,"somebody, anyone",none,"someone special, someone new",khác,en
something,A thing that is unspecified or unknown,bir şey,I need something to eat.,"pronoun, noun",none,"anything, object",nothing,"something to eat, something else",thức ăn,en
sometimes,"Occasionally, rather than all of the time",bazen,Sometimes I go for a walk.,adverb,none,"occasionally, at times","always, never","sometimes we, sometimes go",khác,en
somewhat,To a moderate extent or by a moderate amount,biraz,The movie was somewhat interesting.,adverb,none,"slightly, moderately","completely, entirely","somewhat agree, somewhat difficult",văn hóa,en
somewhere,In or at or to some place; some place,bir yerde,He lives somewhere near here.,adverb,none,"anywhere, in some place",nowhere,"somewhere else, somewhere around",khác,en
son,A boy or man in relation to either or both of his parents,oğul,He is proud of his son.,"noun, verb",sons,"boy, offspring",daughter,"proud son, youngest son",khác,en
song,A short poem or other set of words set to music or meant to be sung,şarkı,She sang a beautiful song.,"noun, verb",songs,"melody, tune",none,"sing a song, love song",văn hóa,en
soon,In or after a short time,yakında,We will leave soon.,adverb,"sooner, soonest","shortly, presently","later, eventually","see you soon, come soon",khác,en
sore,Suffering pain from a part of one's body,ağrılı,His muscles are sore after the workout.,"adjective, noun",sores,"painful, aching","comfortable, painless","sore throat, sore muscles",nghề nghiệp,en
sorry,"Feeling distress, especially through sympathy with someone else's misfortune",üzgün,I am sorry for your loss.,"adjective, verb","sorrier, sorriest","apologetic, regretful","unapologetic, indifferent","feel sorry, so sorry",nghề nghiệp,en
sort,A category of things or people having some common feature; a type,tür,This is my favorite sort of music.,"noun, verb","sorts, sorting, sorted","type, kind",none,"all sorts, sort of",văn hóa,en
sort out,Organize or arrange something that is mixed up or untidy,çözmek,I need to sort out my papers.,phrasal verb,none,"organize, arrange","mix up, confuse","sort out a problem, sort out the mess",khác,en
soul,"The spiritual or immaterial part of a human being or animal, regarded as immortal",ruh,He believes in the soul's immortality.,"noun, adjective",souls,"spirit, essence","body, flesh","soul mate, soul searching",văn hóa,en
sound,Vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear,ses,She heard a strange sound.,"noun, verb","sounds, sounding, sounded","noise, tone","silence, quiet","make a sound, loud sound",du lịch,en
soup,"A liquid dish, typically made by boiling meat, fish, or vegetables, etc., in stock or water",çorba,He made a pot of chicken soup.,"noun, verb",soups,"broth, chowder",none,"bowl of soup, hot soup",thức ăn,en
source,"A place, person, or thing from which something comes or can be obtained",kaynak,The river is the main source of water for the village.,"noun, verb",sources,"origin, basis","end, result","energy source, reliable source",thức ăn,en
south,"The direction toward the point of the horizon 90° clockwise from east, or the point on the horizon itself",güney,They traveled south for the winter.,"noun, adjective",none,none,north,"travel south, head south",du lịch,en
southern,Situated in the south or directed toward or facing the south,güneyli,The southern part of the country is warmer.,"adjective, noun",southerly,southward,northern,"southern region, southern accent",du lịch,en
space,"A continuous area or expanse which is free, available, or unoccupied",alan,There was enough space for everyone.,"noun, verb",spaces,"area, room",none,"open space, living space",khác,en
spare,Additional to what is required for ordinary use,yedek,He keeps a spare key under the mat.,"adjective, noun","spares, sparing, spared","extra, backup","necessary, needed","spare time, spare parts",khác,en
speak,"Say something in order to convey information, an opinion, or a feeling",konuşmak,She spoke to the manager.,"verb, noun","speaks, speaking, spoke","talk, converse","listen, silence","speak clearly, speak loudly",nghề nghiệp,en
speaker,A person who speaks,konuşmacı,The speaker gave an inspiring speech.,"noun, verb",speakers,"orator, lecturer","audience, listener","keynote speaker, guest speaker",khác,en
special,"Better, greater, or otherwise different from what is usual",özel,She has a special talent for music.,"adjective, noun",specials,"unique, particular","ordinary, common","special occasion, special talent",văn hóa,en
species,A group of living organisms consisting of similar individuals capable of exchanging genes or interbreeding,tür,There are many species of birds in the forest.,"noun, verb",species,"group, type",individual,"endangered species, different species",du lịch,en
specific,Clearly defined or identified,spesifik,He gave a specific answer to the question.,"adjective, noun",specifically,"definite, particular","general, vague","specific details, specific instructions",trường học,en
speech,The expression of or the ability to express thoughts and feelings by articulate sounds,konuşma,He gave a wonderful speech.,"noun, verb",speeches,"address, talk","silence, muteness","make a speech, speech therapy",luyện trí não,en
speed,The rate at which someone or something moves or operates,hız,The car was traveling at high speed.,"noun, verb","speeds, speeding, sped","velocity, pace","slowness, sluggishness","high speed, speed limit",du lịch,en
spell,Write or name the letters that form (a word) in correct sequence,hecelemek,She can spell her name correctly.,"verb, noun","spells, spelling, spelled","write, letter",none,"spell correctly, spell a word",trường học,en
spend,"Give (money) to pay for goods, services, or so as to benefit someone or something",harcamak,They spend a lot of money on travel.,"verb, noun","spends, spending, spent","expend, disburse","save, conserve","spend money, spend time",nghề nghiệp,en
spice,An aromatic or pungent vegetable substance used to flavor food,baharat,Add some spice to the dish.,"noun, verb",spices,"seasoning, flavor",none,"add spice, blend of spices",thức ăn,en
spicy,Flavored with or fragrant with spice,baharatlı,The food is very spicy.,"adjective, noun","spicier, spiciest","hot, seasoned","bland, mild","spicy food, spicy flavor",thức ăn,en
spider,An eight-legged predatory arachnid with an unsegmented body consisting of a fused thorax and abdomen,örümcek,There is a spider on the wall.,"noun, verb",spiders,arachnid,none,"spider web, spider bite",khác,en
spin,Turn or cause to turn or whirl around quickly,dönmek,The dancer spun gracefully.,"verb, noun","spins, spinning, spun","twirl, rotate","stop, still","spin around, spin a wheel",văn hóa,en
spirit,The non-physical part of a person which is the seat of emotions and character; the soul,ruh,He has a strong spirit.,"noun, adjective",spirits,"soul, essence","body, flesh","indomitable spirit, community spirit",văn hóa,en
spiritual,Relating to or affecting the human spirit or soul as opposed to material or physical things,manevi,She is on a spiritual journey.,"adjective, noun",spiritually,"religious, ethereal","material, physical","spiritual leader, spiritual growth",văn hóa,en
spite,"A desire to hurt, annoy, or offend someone",kin,He did it out of spite.,"noun, verb","spites, spiting, spited","malice, bitterness","kindness, goodwill","out of spite, with spite",khác,en
split,"Break or cause to break forcibly into parts, especially into halves or along the grain",bölmek,She split the log in two.,"verb, noun","splits, splitting, split","divide, separate","join, unite","split the difference, split apart",khác,en
split up,End a relationship,ayrılmak,They decided to split up.,phrasal verb,none,"break up, separate",stay together,"split up with, split up the group",khác,en
spoil,Diminish or destroy the value or quality of,bozmak,The rain spoiled the picnic.,"verb, noun","spoils, spoiling, spoiled","ruin, damage","improve, enhance","spoil the surprise, spoil the fun",văn hóa,en
spoken,Past participle of speak,konuşulan,The speech was well spoken.,"adjective, verb","speaks, speaking, spoke","uttered, verbal",written,"spoken word, spoken language",khác,en
spoon,An implement consisting of a small shallow bowl (as of wood or plastic) with a handle used especially in eating and cooking,kaşık,He ate soup with a spoon.,"noun, verb",spoons,none,none,"teaspoon, tablespoon",thức ăn,en
sport,An activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment,spor,He plays several sports.,"noun, verb",sports,"athletics, game",none,"play sport, team sport",luyện trí não,en
spot,"A small round or roundish mark, differing in color or texture from the surface around it",nokta,There was a spot on his shirt.,"noun, verb",spots,"mark, dot",none,"spot on, spot the difference",khác,en
spread,"Open out (something) so as to extend its surface area, width, or length",yayılmak,She spread butter on the toast.,"verb, noun","spreads, spreading, spread","unfold, extend","fold, compress","spread the word, spread out",thức ăn,en
spring,"The season after winter and before summer, in which vegetation begins to appear, in the northern hemisphere from March to May and in the southern hemisphere from September to November",bahar,Spring is her favorite season.,"noun, verb",springs,"season, time of year","autumn, fall","spring flowers, spring break",du lịch,en
square,A plane figure with four equal straight sides and four right angles,kare,He drew a square on the paper.,"noun, adjective",squares,"quadrilateral, four-sided",none,"square root, square meter",văn hóa,en
squeeze,Firmly press (something soft or yielding) typically with one's fingers,sıkmak,She squeezed the toothpaste out of the tube.,"verb, noun","squeezes, squeezing, squeezed","press, compress","release, loosen","squeeze the juice, squeeze tightly",khác,en
stable,Not likely to change or fail; firmly established,istikrarlı,The table is stable.,"adjective, noun",stably,"steady, firm","unstable, unsteady","stable condition, stable environment",trường học,en
staff,All the people employed by a particular organization,personel,The hospital staff is very professional.,"noun, verb",staffs,"personnel, workforce",none,"staff meeting, staff member",nghề nghiệp,en
stage,"A point, period, or step in a process or development",aşama,The project is in its final stage.,"noun, verb",stages,"phase, step",none,"development stage, early stage",nghề nghiệp,en
stair,A set of steps leading from one floor of a building to another,merdiven,She walked up the stairs.,noun,stairs,"steps, staircase",none,"climb the stairs, stair railing",khác,en
stamp,"A small adhesive piece of paper stuck to something to show that an amount of money has been paid, in particular a postage stamp",pul,He put a stamp on the envelope.,"noun, verb",stamps,"seal, sticker",none,"postage stamp, stamp collection",khác,en
stand,"Have or maintain an upright position, supported by one's feet",durmak,She stood in line.,"verb, noun","stands, standing, stood","upright, position","sit, lie","stand still, stand up",nghề nghiệp,en
standard,A level of quality or attainment,standart,The equipment meets safety standards.,"noun, adjective",standards,"criterion, benchmark","substandard, inferior","high standard, quality standard",khác,en
star,"A fixed luminous point in the night sky which is a large, remote incandescent body like the sun",yıldız,They saw a bright star in the sky.,"noun, verb",stars,"celestial body, sun",none,"shooting star, film star",khác,en
start,Begin or set out on a journey or activity,başlamak,He decided to start his own business.,"verb, noun","starts, starting, started","begin, commence","finish, end","start a project, start the car",du lịch,en
start off,Begin one's life or a career,başlamak,She started off as a junior employee.,phrasal verb,none,"begin, commence",none,"start off with, start off as",nghề nghiệp,en
start out,Begin a journey or project,başlamak,They started out on their journey.,phrasal verb,none,"embark, commence",none,"start out on, start out with",nghề nghiệp,en
start up,Begin operating or functioning,başlamak,He started up the car.,phrasal verb,none,"activate, launch",none,"start up a business, start up the engine",du lịch,en
state,The particular condition that someone or something is in at a specific time,durum,The state of the economy is improving.,"noun, verb",states,"condition, situation",none,"state of mind, state of affairs",nghề nghiệp,en
statement,A definite or clear expression of something in speech or writing,beyan,Her statement was clear and concise.,"noun, verb",statements,"declaration, remark","question, inquiry","make a statement, issue a statement",luyện trí não,en
station,A regular stopping place on a public transportation route,istasyon,The train arrived at the station.,"noun, verb",stations,"stop, terminal",none,"train station, radio station",du lịch,en
statue,"A carved or cast figure of a person or animal, especially one that is life-size or larger",heykel,The statue was unveiled in the town square.,"noun, verb",statues,"sculpture, effigy",none,"bronze statue, life-size statue",du lịch,en
status,"The relative social, professional, or other standing of someone or something",durum,His status in the company is high.,"noun, verb",statuses,"standing, rank",none,"social status, professional status",nghề nghiệp,en
stay,Remain in the same place,kalmak,They decided to stay at a hotel.,"verb, noun",stays,"remain, continue","leave, depart","stay at home, stay in touch",du lịch,en
steadily,In a regular and even manner,düzenli olarak,She worked steadily throughout the night.,adverb,none,"regularly, consistently","irregularly, sporadically","work steadily, improve steadily",nghề nghiệp,en
steady,"Firmly fixed, supported, or balanced; not shaking or moving",sabit,He held the ladder steady.,"adjective, noun","steadier, steadiest","stable, firm","unsteady, wobbly","steady hand, steady job",khác,en
steal,Take (another person's property) without permission or legal right and without intending to return it,çalmak,Someone tried to steal his wallet.,"verb, noun","steals, stealing, stole","rob, take","return, give","steal money, steal a car",văn hóa,en
steam,"The vapor into which water is converted when heated, forming a white mist of minute water droplets in the air",buhar,Steam rose from the boiling kettle.,"noun, verb",steams,"vapor, mist",condensation,"steam engine, steam room",thức ăn,en
steel,"A hard, strong gray or bluish-gray alloy of iron with carbon and usually other elements, used as a structural and fabricating material",çelik,The building is supported by steel beams.,"noun, verb",steels,none,none,"stainless steel, steel industry",du lịch,en
steep,Rising or falling sharply; nearly perpendicular,dik,The path became very steep.,"adjective, noun","steeper, steepest","sheer, abrupt","gentle, gradual","steep hill, steep slope",khác,en
steer,"Guide or control the movement of (a vehicle, vessel, or aircraft)",yönlendirmek,She steered the boat into the harbor.,"verb, noun",steers,"navigate, guide","misguide, wander","steer clear, steer the car",du lịch,en
step,"A flat surface, especially one in a series, on which to place one's foot when moving from one level to another",adım,He took a step forward.,"noun, verb",steps,"stride, stage",none,"take a step, step forward",khác,en
stick,A thin piece of wood that has fallen or been cut from a tree,çubuk,He picked up a stick from the ground.,"noun, verb",sticks,"twig, branch","log, trunk","walking stick, glue stick",khác,en
stiff,Not easily bent or changed in shape; rigid,sert,The clothes were stiff from drying in the sun.,"adjective, noun","stiffer, stiffest","rigid, inflexible","flexible, pliable","stiff neck, stiff competition",khác,en
still,Not moving or making a sound,hareketsiz,The lake was still in the early morning.,"adjective, adverb","stiller, stillest","motionless, quiet","moving, noisy","sit still, stand still",du lịch,en
sting,Wound or pierce with a sting,sokmak,The bee sting was painful.,"verb, noun","stings, stinging, stung","prick, bite","soothe, comfort","bee sting, sting of",khác,en
